CUSTOMER ID,LINK TO LMS,LAST APPROVED AMOUNT,Max of dpd,Max of emi_paid,CIBIL SCORE,ACTIVE LOANS,OFFER TAKEN,CARD ASSIGNED,CARD REGISTERED,Last nbfc,BANK,NACH REGISTRATION STATUS,PAYBACK POINT,VENDOR CODE,Max of service_issue,Max of system_resolvedticket,OPEN TICKET,RESOLVED TICKET,REOPEN TICKET,OVERDUE TICKET,CLOSED TICKET
113,https://lms.stasheasy.com/lead/customerInfo/113/7263,50000,3,9,704,0,0,Y,N,,,,0,DCB,0,0,0,0,0,0,0
1414,https://lms.stasheasy.com/lead/customerInfo/1414/4337,45000,8,10,673,0,0,Y,N,,,,0,DCB,0,0,0,0,0,0,0
2112,https://lms.stasheasy.com/lead/customerInfo/2112/21820,50000,2,13,1,0,0,Y,Y,Akara Capital Advisors Private Limited,Punjab National Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
2888,https://lms.stasheasy.com/lead/customerInfo/2888/388778,23000,3,22,697,0,1,Y,Y,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,9
3562,https://lms.stasheasy.com/lead/customerInfo/3562/129900,152234,3,33,617,0,2,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,2
4393,https://lms.stasheasy.com/lead/customerInfo/4393/686640,25161,3,42,672,0,1,Y,Y,Akara Capital Advisors Private Limited,"ICI-ICICI Bank,ICICI Bank",ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,7
6220,https://lms.stasheasy.com/lead/customerInfo/6220/45480,21741,3,18,717,0,0,Y,Y,Akara Capital Advisors Private Limited,State Bank of India,ACCEPTED,0,DCB,0,0,0,0,0,0,0
6712,https://lms.stasheasy.com/lead/customerInfo/6712/40297,75000,2,8,694,0,0,Y,N,Akara Capital Advisors Private Limited,Axis Bank Ltd.,ACCEPTED,0,DCB,0,0,0,0,0,0,2
6718,https://lms.stasheasy.com/lead/customerInfo/6718/16079,60000,5,8,702,0,0,Y,N,Akara Capital Advisors Private Limited,Canara Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
6882,https://lms.stasheasy.com/lead/customerInfo/6882/700021,33898,3,32,734,1,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,0
6914,https://lms.stasheasy.com/lead/customerInfo/6914/700049,49274,1,27,754,0,1,Y,Y,Akara Capital Advisors Private Limited,Deutsche Bank,ACCEPTED,0,DCB,0,0,0,1,0,0,18
6980,https://lms.stasheasy.com/lead/customerInfo/6980/48187,50000,4,14,754,0,0,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,5
